discente,periodoano,media_c1,faltas_c1,media_pre,faltas_pre,media_vga,faltas_vga,descricao_c3
8b86700c05dc7e14015f71a93ffb55e1,20151,1.6,20.0,6.4,0.0,5.0,0.0,NÃO PRESENTE
ee8e4404684b3f93bf91c84604aad21a,20151,1.7,24.0,8.0,0.0,3.5,0.0,NÃO PRESENTE
757d1efc928c91d998ee38dfd27ba5f3,20151,5.3,4.0,5.8,0.0,8.0,4.0,APROVADO POR NOTA
30901e0aa172d429d46c7f9ed88f3c89,20151,7.3,0.0,7.5,0.0,8.0,0.0,APROVADO POR NOTA
d797d09421adb34c867a441879c20b5e,20151,5.0,6.0,6.8,0.0,3.3,0.0,NÃO PRESENTE
631c95a0947ee2a12012c48ee72ff588,20151,4.2,8.0,1.6,6.0,1.6,22.0,NÃO PRESENTE
7666f8a3847cdc01ad0869ad6badf2d9,20151,5.8,4.0,6.7,0.0,6.3,0.0,APROVADO POR NOTA
feab17e19d293fed4cf91da296b66aeb,20151,5.7,2.0,6.4,0.0,5.7,0.0,REPROVADO
754b5025144a4ecb130cd178966c5e70,20151,5.5,4.0,6.2,0.0,5.4,0.0,REPROVADO
065eae8c361bff7e7318650d1ab676dc,20151,5.2,4.0,6.5,0.0,5.4,0.0,NÃO PRESENTE
e46d6445b5c18eb2ae24f418f1566e4f,20151,5.6,6.0,7.0,0.0,6.5,0.0,NÃO PRESENTE
89796402382a66ef9631b0445a744d9d,20151,5.4,10.0,5.0,0.0,6.1,0.0,REPROVADO
ed930c6d9569026666ea8bb0156a0f17,20151,5.1,2.0,5.6,0.0,4.2,0.0,APROVADO POR NOTA
2c621b92b2b25f72363849eaef9bb9dc,20151,6.7,10.0,6.7,0.0,8.1,2.0,REPROVADO
445cbdd6516a587d0f69ae2baad6f06d,20151,5.8,0.0,4.2,2.0,5.7,4.0,APROVADO
f99c83c08448b79eb3938dfbb2235fe5,20151,1.6,20.0,2.0,0.0,2.5,6.0,NÃO PRESENTE
aa9817b1cdf9d39c1d32b6e1ab8ecbc1,20151,3.4,6.0,2.4,4.0,3.0,4.0,NÃO PRESENTE
e85dc8ef207a17c6223de97e1ae05450,20151,0.0,26.0,1.1,2.0,0.5,14.0,NÃO PRESENTE
369998ec75aeb6fc6f4b4f07f38f16c0,20151,0.0,24.0,1.6,0.0,0.9,2.0,NÃO PRESENTE
76fc6ed6844179f08fdca9755e6c6fd1,20151,3.6,18.0,1.0,6.0,0.0,20.0,NÃO PRESENTE
b7088f8e3ceb9c3984143213453cdda1,20151,0.0,50.0,0.0,0.0,0.0,32.0,NÃO PRESENTE
03467c5a2ffad158ba019faa92e3dfc8,20151,0.0,22.0,0.9,0.0,0.3,0.0,NÃO PRESENTE
e670bca6788aa19afe4906b8444692e4,20151,1.7,24.0,6.7,16.0,4.7,0.0,NÃO PRESENTE
3b65748298aba131bf33383370154cb6,20151,0.0,50.0,2.4,6.0,0.7,32.0,NÃO PRESENTE
56039b6ec5867cd85dfec350a288f165,20151,0.7,18.0,5.0,0.0,5.7,2.0,NÃO PRESENTE
52f8016a76f4c3f2064ca7cd6947455f,20151,5.3,2.0,5.0,4.0,5.8,2.0,NÃO PRESENTE
3bae77eb7f7ecf16cd36c9fb3fff21e6,20151,6.3,0.0,7.4,0.0,6.2,2.0,APROVADO
114383f28e2a741a3161a1629a7fc50e,20151,1.1,18.0,1.3,4.0,0.7,16.0,NÃO PRESENTE
f1f254413620db5e9a2509f7735147e5,20151,0.6,22.0,1.5,6.0,0.5,22.0,NÃO PRESENTE
850e2a5763f561f4fc734655e32a19c4,20151,2.0,10.0,6.3,0.0,2.3,0.0,NÃO PRESENTE
