discente,media_final,numero_total_faltas,descricao
5b4b0f73dfddef54779bdcc0ef1c52cc,5.0,0.0,NÃO PRESENTE
859abe9fcb5769f73f54cba6592b81af,5.0,0.0,NÃO PRESENTE
b7872ce0998039e1ff012d3018e254ad,3.4,0.0,NÃO PRESENTE
c77be5959e2d10eb35c839451dd92c65,0.0,0.0,NÃO PRESENTE
4f93816650d83b02c7615288cad08c7c,7.2,0.0,NÃO PRESENTE
b0f2b86078ea558ad0b70a1871faa762,7.6,0.0,APROVADO POR NOTA
2e324e7412805d260c747267ee052e6f,7.2,0.0,NÃO PRESENTE
a09c7647b5356209cb3dc6a3f74856bf,9.3,0.0,NÃO PRESENTE
00c95b0e427b18e5443272c0c01549c3,1.8,0.0,NÃO PRESENTE
1a008865ec8822d7c862f2bcccb52ff7,0.0,0.0,NÃO PRESENTE
3d688dbe74a84992ce43181e08c0f295,5.7,0.0,NÃO PRESENTE
996582bdccc14e508fd5acc8c2a8a40b,0.2,0.0,NÃO PRESENTE
53ab6cc19afdd3429fed6740fb0fdd27,7.2,0.0,NÃO PRESENTE
93d2c39e4a530e2aea975e6ad9040a09,5.5,0.0,NÃO PRESENTE
99124ab5f2c584e55bf4d288423462a9,6.3,0.0,NÃO PRESENTE
4406bb3ebe3373f3e48b9c8e9a1f5be7,0.0,0.0,NÃO PRESENTE
96dcfd3b6abce144634061c95b647a48,0.0,0.0,NÃO PRESENTE
5425a7e01b73b0000dceb5a9f6dca32e,0.5,0.0,NÃO PRESENTE
af5e1c2af540a3b2b3a6014e4a70081d,0.6,0.0,NÃO PRESENTE
55697526679c0ed0f2e4fbef04a54be3,0.0,0.0,NÃO PRESENTE
898d6550d388e0fb766992ad35d0c30a,0.0,0.0,NÃO PRESENTE
7c50b2cf0103addef22e9d5e09e4dc63,0.0,0.0,NÃO PRESENTE
0193ca6c3c252facda40ba7cf54721c9,0.0,0.0,NÃO PRESENTE
0161582a530ad8ee8862fc59d60fe270,1.3,0.0,NÃO PRESENTE
1a09c4aff3a79ca5887c11d46074272e,0.0,0.0,NÃO PRESENTE
4f0d6c8e0c8e081512eaa56e4042faac,2.2,0.0,NÃO PRESENTE
3d78ca594f14b926d17404cd7941f58f,0.0,0.0,NÃO PRESENTE
f73d8c03ae1d0a541f3bec4113938fa2,0.0,0.0,NÃO PRESENTE
067db82d7cb43eb31ceb4a46dbb0956e,6.9,0.0,NÃO PRESENTE
9a15efbddf92273a71901b3ba9df0be4,5.2,0.0,NÃO PRESENTE
cf9902d94d272a8cde460a99d424931b,5.3,0.0,NÃO PRESENTE
0657f6ad2039fca3e477abe0d07cfe4a,1.0,0.0,NÃO PRESENTE
788ae3424ce1940cce98462c8ad19f6d,0.0,0.0,NÃO PRESENTE
0bed137d32aa677a7ca894d3962e82f6,7.5,0.0,NÃO PRESENTE
e7e7b57ea9ab38e7faf0692f3f83c763,2.3,0.0,NÃO PRESENTE
0cc3db6ed32ab41d5af68ed07dab18e1,3.0,0.0,NÃO PRESENTE
ffc6489a1c87d83ac967f08d26adc057,0.0,0.0,NÃO PRESENTE
dbc5409c3f6a796008a4adeb7079567b,4.1,0.0,NÃO PRESENTE
0a9d3deed209bd1537cdf017774360f5,1.1,0.0,NÃO PRESENTE
dee039f41f5cd28062a27e68d96bde5f,8.2,0.0,REPROVADO
310f1349e1974f8e397453eb10ac7566,0.0,0.0,NÃO PRESENTE
13555fca00fc37e2e218b84a019833bc,0.7,0.0,NÃO PRESENTE
7ba1bb195b06f5a3c713e7dec5a42e28,7.3,0.0,NÃO PRESENTE
6b5c83eb286aa77d302fbfa6f8b50684,8.5,0.0,APROVADO
78e9329cfcd54843f06e29aa49f07739,10.0,0.0,APROVADO
0b2dc00fe38ceaf69c51238ce0f43978,5.7,0.0,NÃO PRESENTE
806d500ef46063a47e1f3ae2014314dd,5.0,0.0,NÃO PRESENTE
39c142d962c7fec74387c97f8f3b1bf4,7.1,0.0,NÃO PRESENTE
6148482a3bc488a0c864d0f2fdd558fc,9.8,0.0,NÃO PRESENTE
7d997533b339e46316e6336268b8cfb6,6.4,0.0,NÃO PRESENTE
4bdb15b5b4445038fb4e7f6506f411b3,7.3,0.0,NÃO PRESENTE
20f3a05774b52d71821d6fc98db3f305,5.2,0.0,NÃO PRESENTE
facf0297afeda6ab03efe2d40353fb33,7.1,0.0,REPROVADO
